Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/01  01:00:00,120871267.834299,0.0,0.0,9649497.64221072,53294400.,57896985.8532643,0.0,30384.3388235294,72000.,0.0,72000. 
 01/01  02:00:00,120871267.834299,0.0,0.0,9649497.64221072,53294400.,57896985.8532643,0.0,30384.3388235294,72000.,0.0,72000. 
 01/01  03:00:00,137205073.544096,13620129.0529251,0.0,9649497.64221072,53294400.,57896985.8532643,2713676.65687237,30384.3388235294,3970772.81969083,0.0,3970772.81969083 
 01/01  04:00:00,144859105.340169,20595741.6847796,0.0,9649497.64221072,53294400.,57896985.8532643,3392095.82109046,30384.3388235294,72000.,0.0,72000. 
 01/01  05:00:00,144984191.575734,21399247.0845634,0.0,9649497.64221072,53294400.,57896985.8532643,2713676.65687237,30384.3388235294,72000.,0.0,72000. 
 01/01  06:00:00,153556830.460662,29293466.8052734,0.0,9649497.64221072,53294400.,57896985.8532643,3392095.82109046,30384.3388235294,3970864.54604716,0.0,3970864.54604716 
 01/01  07:00:00,147454017.025375,23869072.5342045,0.0,9649497.64221072,53294400.,57896985.8532643,2713676.65687237,30384.3388235294,72000.,0.0,72000. 
 01/01  08:00:00,112281287.320466,23547523.665077,0.0,9649497.64221072,17764800.,57896985.8532643,3392095.82109046,30384.3388235294,3970617.27593842,0.0,3970617.27593842 
 01/01  09:00:00,76793369.2806315,7181243.95367864,0.0,9649497.64221072,0.0,57896985.8532643,2035257.49265428,30384.3388235294,72000.,0.0,72000. 
 01/01  10:00:00,67576867.8342986,0.0,0.0,9649497.64221072,0.0,57896985.8532643,0.0,30384.3388235294,3970750.07871757,0.0,3970750.07871757 
 01/01  11:00:00,67576867.8342986,0.0,0.0,9649497.64221072,0.0,57896985.8532643,0.0,30384.3388235294,72000.,0.0,72000. 
 01/01  12:00:00,67576867.8342986,0.0,0.0,9649497.64221072,0.0,57896985.8532643,0.0,30384.3388235294,72000.,0.0,72000. 
 01/01  13:00:00,67576867.8342986,0.0,0.0,9649497.64221072,0.0,57896985.8532643,0.0,30384.3388235294,3970929.63105408,0.0,3970929.63105408 
 01/01  14:00:00,69802226.1949776,0.0,0.0,9649497.64221072,0.0,57896985.8532643,2225358.36067903,30384.3388235294,3971555.95201331,0.0,3971555.95201331 
 01/01  15:00:00,70916450.2384776,0.0,68786.9707461586,9649497.64221072,0.0,57896985.8532643,3270795.43343283,30384.3388235294,72000.,0.0,72000. 
 01/01  16:00:00,67576867.8342986,0.0,0.0,9649497.64221072,0.0,57896985.8532643,0.0,30384.3388235294,72000.,0.0,72000. 
