"PVWatts: Hourly PV Performance Data"
"Requested Location:","san francisco"
"Location:","SAN FRANCISCO INTL AP, CA"
"Lat (deg N):","37.62"
"Long (deg W):","122.4"
"Elev (m):","2"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","37.8"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.09"
"Capacity Factor (%)","17.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","7.2","0","0","7.2","0","0"
"1","1","1","0","0","7.2","2.1","0","7.2","0","0"
"1","1","2","0","0","6.7","2.1","0","6.7","0","0"
"1","1","3","0","0","6.1","1.5","0","6.1","0","0"
"1","1","4","0","0","4.4","3.1","0","4.4","0","0"
"1","1","5","0","0","4.4","2.1","0","4.4","0","0"
"1","1","6","0","0","6.1","0","0","6.1","0","0"
"1","1","7","69","1","5","0","27.302","2.049","23.051","17.062"
"1","1","8","477","39","7.8","0","320.214","18.591","273.25","261.498"
"1","1","9","651","71","8.9","0","571.907","31.159","472.702","454.826"
"1","1","10","677","104","9.4","1.5","724.524","30.477","605.437","582.736"
"1","1","11","542","159","10","1.5","713.445","31.307","594.931","572.634"
"1","1","12","532","156","10.6","1.5","708.494","31.702","589.78","567.679"
"1","1","13","543","152","11.1","0","685.742","39.403","549.071","528.493"
"1","1","14","643","117","13.9","0","662.203","41.129","523.516","503.865"
"1","1","15","449","97","13.9","3.1","410.707","23.723","349.025","335.107"
"1","1","16","0","0","11.1","3.1","0","11.1","0","0"
"1","1","17","0","0","11.1","1.5","0","11.1","0","0"
"1","1","18","0","0","10.6","1.5","0","10.6","0","0"
"1","1","19","0","0","10.6","2.1","0","10.6","0","0"
"1","1","20","0","0","8.9","2.1","0","8.9","0","0"
"1","1","21","0","0","9.4","2.1","0","9.4","0","0"
"1","1","22","0","0","7.8","1.5","0","7.8","0","0"
"1","1","23","0","0","6.7","2.6","0","6.7","0","0"
"1","2","0","0","0","8.9","2.1","0","8.9","0","0"
"1","2","1","0","0","6.1","0","0","6.1","0","0"
"1","2","2","0","0","5.6","0","0","5.6","0","0"
"1","2","3","0","0","3.9","0","0","3.9","0","0"
"1","2","4","0","0","5.6","1.5","0","5.6","0","0"
